stars,comment
4.0 out of 5 stars,"Face recognition is super fast, fingerprint reader is ok not that quick if compare to capacitive fingerprint reader it takes noticeable time. And Camera is good with decent image stabilization.
            "
5.0 out of 5 stars,"Always number one
            "
5.0 out of 5 stars,"Very good product
            "
5.0 out of 5 stars,"Super
            "
5.0 out of 5 stars,"Nice.
            "
5.0 out of 5 stars,"Good phone
            "
5.0 out of 5 stars,"Good
            "
4.0 out of 5 stars,"Bought this bloody phone for 38000 on Sunday and it goes on offer the next Thurday.. So had to pay 4500 more... Dissatisfied..
            "
5.0 out of 5 stars,"It's awesome,I know it's little costly but value for money product
            "
3.0 out of 5 stars,"Something better othes All brand
            "
5.0 out of 5 stars,"Just loved it I mean can't find any fault superb device very happy with the purchase
            "
5.0 out of 5 stars,"The overall usage is just what you need. Just go for it. No need to think about space or lag or charge.
            "
4.0 out of 5 stars,"Coming from a 3T this one is furthermore technological expecially the camera
            "
4.0 out of 5 stars,"Phone is little bulky. Multi operation phone becomes slow.Screen is very good.
            "
5.0 out of 5 stars,"Awesome phone
            "
4.0 out of 5 stars,"Super
            "
5.0 out of 5 stars,"No headphone jack
            "
5.0 out of 5 stars,"Great phone
            "
4.0 out of 5 stars,"I love this product...It's was amazing to use. Great battery life.. And perfect camera.
            "
5.0 out of 5 stars,"Best product ever.
            "
4.0 out of 5 stars,"Initially when I started using the phone I felt it is pretty fast.Later after couple of months I feel need more faster phone
            "
5.0 out of 5 stars,"Amazing product and lightning fast response. The screen resolution is amazing. I am pleasantly surprised by this product, especially I switched t it from an iPhone.
            "
5.0 out of 5 stars,"Perfect phone for every type of use.
            "
2.0 out of 5 stars,"Camera is not good, face recognition does not work always always asks for finger print or password ,where  finger print also doesn't work properly, always have to use password for screen lock.The phn gets stuck every now and then ,while typing or using any app, have to screen lock it and open it again,the screen minimization from swipe is not good at all (even though copied from iPhone not at all able to reach there). Many gestures don't work on lock screen which are supposed to work on lock screen. Many other issues are there,when I wanted to return , voila😀 there is no  return policy for this on Amazon. what they do is only replacement of same phn,same model, same colour, everything same ...ifff there is any physical damage. This is what I got response from Amazon customer care. They don't care if the phn is not good.
            "
